Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
4,5,9,479,218,7,8,578.761,14.764,2070.064,1992.511
4,5,10,517,260,11,8,730.948,21.317,2551.573,2455.017
4,5,11,792,178,14,8,957.565,27.84,3245.778,3118.032
4,5,12,277,400,16,7,703.671,27.27,2392.402,2302.366
4,5,13,220,392,18,6,619.503,28.672,2091.934,2013.564
4,5,14,688,197,19,5,803.272,34.367,2633.09,2533.104
4,5,15,390,237,19,3,519.151,31.768,1714.64,1649.731
4,5,16,63,180,18,1,209.304,25.127,712.842,677.253
4,5,17,17,96,16,1,96.413,17.914,338.911,311.874
4,5,18,0,11,15,3,10.411,13.784,37.665,16.574
4,5,19,0,0,14,4,0,14,0,0
4,5,20,0,0,12,5,0,12,0,0
4,5,21,0,0,11,4,0,11,0,0
4,5,22,0,0,10,2,0,10,0,0
4,5,23,0,0,9,2,0,9,0,0
4,6,0,0,0,8,4,0,8,0,0
4,6,1,0,0,7,4,0,7,0,0
4,6,2,0,0,6,4,0,6,0,0
4,6,3,0,0,6,5,0,6,0,0
4,6,4,0,0,5,5,0,5,0,0
4,6,5,0,0,5,6,0,5,0,0
4,6,6,235,33,5,7,46.519,4.586,136.075,113.135
4,6,7,581,75,6,8,255.202,8.75,828.528,790.029
4,6,8,0,133,7,8,127.628,8.057,473.561,443.595
4,6,9,0,120,9,9,114.672,9.704,422.438,393.604
4,6,10,231,351,10,8,565.119,17.432,2009.498,1934.183
4,6,11,923,116,12,8,1004.819,26.368,3429.752,3292.99
4,6,12,282,401,13,8,709.651,23.406,2457.026,2364.371
4,6,13,911,119,13,8,988.936,27.274,3360.743,3227.4
4,6,14,875,119,13,8,875.039,25.841,2987.533,2871.913
4,6,15,834,105,13,7,696.367,24.035,2375.884,2286.511
4,6,16,751,88,12,6,470.502,19.988,1581.374,1520.903
4,6,17,560,69,10,4,224.487,14.412,693.774,658.652
4,6,18,176,25,8,2,31.835,7.585,94.121,71.98
4,6,19,0,0,6,2,0,6,0,0
4,6,20,0,0,5,2,0,5,0,0
4,6,21,0,0,5,2,0,5,0,0
4,6,22,0,0,4,1,0,4,0,0
4,6,23,0,0,3,1,0,3,0,0
4,7,0,0,0,3,2,0,3,0,0
4,7,1,0,0,3,2,0,3,0,0
4,7,2,0,0,3,3,0,3,0,0
4,7,3,0,0,3,3,0,3,0,0
4,7,4,0,0,3,4,0,3,0,0
4,7,5,0,0,3,4,0,3,0,0
4,7,6,323,31,5,5,50.969,4.595,138.099,115.119
4,7,7,669,63,8,7,271.552,11.272,862.928,823.54
4,7,8,830,76,11,9,523.23,17.445,1790.213,1722.714
4,7,9,917,83,12,10,750.451,21.109,2599.966,2501.381
4,7,10,961,86,12,10,924.359,23.498,3192.24,3067.058
4,7,11,373,364,12,10,747.184,21.335,2611.603,2512.527
4,7,12,204,416,11,10,638.667,18.81,2258.714,2173.972
4,7,13,954,101,11,9,1010.927,24.437,3481.793,3333.333
4,7,14,941,91,11,8,896.137,24.152,3083.646,2963.585
4,7,15,902,82,11,8,716.272,21.386,2472.777,2379.478
4,7,16,829,69,10,7,489.792,17.518,1660.539,1597.452
4,7,17,680,53,9,5,241.567,13.148,734.935,698.799
4,7,18,311,22,7,3,35.72,6.692,90.922,68.841
4,7,19,0,0,5,3,0,5,0,0
4,7,20,0,0,4,3,0,4,0,0
4,7,21,0,0,3,2,0,3,0,0
4,7,22,0,0,2,2,0,2,0,0
4,7,23,0,0,1,2,0,1,0,0
4,8,0,0,0,0,2,0,0,0,0
4,8,1,0,0,0,2,0,0,0,0
4,8,2,0,0,0,2,0,0,0,0
4,8,3,0,0,0,2,0,0,0,0
4,8,4,0,0,0,2,0,0,0,0
4,8,5,0,0,0,2,0,0,0,0
4,8,6,394,30,1,3,55.784,0.452,145.077,121.963
4,8,7,711,58,3,4,281.687,7.737,906.817,866.279
4,8,8,846,75,6,6,532.922,14.5,1848.677,1779.137
4,8,9,914,86,8,7,753.769,19.546,2630.985,2531.088
4,8,10,440,295,9,7,703.717,19.988,2472.336,2379.056
4,8,11,519,306,10,7,834.297,23.038,2893.027,2781.689
4,8,12,973,100,11,7,1064.34,27.874,3608.016,3333.333
4,8,13,965,99,11,7,1020.156,27.413,3464.622,3326.115
4,8,14,941,96,10,7,902.438,24.471,3100.853,2979.988
4,8,15,872,99,10,7,717.545,21.378,2478.533,2384.998
4,8,16,778,89,9,6,486.111,17.268,1654.679,1591.787
4,8,17,605,68,6,5,236.576,10.023,742.886,706.553
4,8,18,214,27,4,4,35.428,3.627,104.844,82.5
4,8,19,0,0,2,3,0,2,0,0
4,8,20,0,0,0,2,0,0,0,0
4,8,21,0,0,0,2,0,0,0,0
4,8,22,0,0,-1,2,0,-1,0,0
4,8,23,0,0,-2,2,0,-2,0,0
4,9,0,0,0,-2,1,0,-2,0,0
4,9,1,0,0,-3,1,0,-3,0,0
4,9,2,0,0,-4,1,0,-4,0,0
4,9,3,0,0,-4,1,0,-4,0,0
4,9,4,0,0,-4,1,0,-4,0,0
4,9,5,0,0,-4,2,0,-4,0,0
4,9,6,333,34,-2,3,56.58,-2.547,159.088,135.702
4,9,7,650,68,0,4,274.825,4.576,906.601,866.068
4,9,8,790,88,1,5,519.18,10.204,1839.596,1770.376
4,9,9,868,101,4,5,742.215,17.978,2610.642,2511.607
4,9,10,912,108,6,5,909.749,23.602,3140.869,3018.124
4,9,11,933,113,8,5,1015.73,27.923,3441.705,3304.346
4,9,12,934,116,9,6,1044.766,27.469,3548.54,3333.333
4,9,13,915,117,11,6,993.503,28.617,3354.873,3221.818
4,9,14,874,118,12,6,875.361,27.488,2965.706,2851.082
4,9,15,812,112,13,6,690.44,25.098,2344.978,2256.839
4,9,16,719,97,12,5,465.997,20.898,1562.987,1503.115
4,9,17,542,73,11,5,224.862,14.797,698.343,663.11
4,9,18,170,27,9,5,32.514,8.587,98.028,75.813
4,9,19,0,0,8,6,0,8,0,0
4,9,20,0,0,8,6,0,8,0,0
4,9,21,0,0,8,6,0,8,0,0
4,9,22,0,0,9,6,0,9,0,0
4,9,23,0,0,10,5,0,10,0,0
4,10,0,0,0,9,5,0,9,0,0
4,10,1,0,0,9,5,0,9,0,0
4,10,2,0,0,8,4,0,8,0,0
4,10,3,0,0,8,3,0,8,0,0
4,10,4,0,0,8,3,0,8,0,0
4,10,5,0,0,9,3,0,9,0,0
4,10,6,139,44,10,3,51.554,9.448,165.491,141.98
4,10,7,415,109,12,3,242.233,16.303,789.172,751.677
4,10,8,374,181,14,3,387.13,22.3,1316.931,1264.778
4,10,9,0,95,15,5,90.413,16.067,323.777,297.06
4,10,10,6,192,16,6,190.465,18.293,675.184,640.515
4,10,11,342,380,16,7,735.689,26.961,2504.686,2410.075
4,10,12,836,161,16,7,1005.671,31.871,3344.314,3211.778
4,10,13,848,147,17,6,970.198,34.189,3189.022,3063.994
4,10,14,638,219,17,6,785.991,30.925,2620.7,2521.24
4,10,15,442,231,16,6,556.062,25.647,1890.787,1819.758
4,10,16,383,165,14,5,365.504,20.729,1244.513,1194.525
4,10,17,278,103,12,4,178.953,15.189,586.4,553.848
4,10,18,92,29,9,2,30.812,8.4,102.238,79.943
4,10,19,0,0,8,1,0,8,0,0
4,10,20,0,0,7,1,0,7,0,0
4,10,21,0,0,7,1,0,7,0,0
4,10,22,0,0,8,1,0,8,0,0
4,10,23,0,0,7,3,0,7,0,0
4,11,0,0,0,5,4,0,5,0,0
4,11,1,0,0,3,4,0,3,0,0
4,11,2,0,0,2,2,0,2,0,0
4,11,3,0,0,0,2,0,0,0,0
4,11,4,0,0,0,2,0,0,0,0
4,11,5,0,0,0,2,0,0,0,0
4,11,6,260,40,1,3,57.911,0.506,172.884,149.229
4,11,7,571,71,3,5,256.699,6.687,847.951,808.952
4,11,8,832,88,5,6,545.911,13.691,1906.385,1834.8
4,11,9,910,100,7,6,772.169,20.066,2690.886,2588.43
4,11,10,954,106,8,6,947.531,24.446,3258.752,3130.38
4,11,11,976,109,9,6,1055.386,27.566,3582.263,3333.333
4,11,12,980,111,10,6,1086.82,29.259,3660.021,3333.333
4,11,13,974,107,10,6,1040.267,28.486,3515.06,3333.333
4,11,14,953,102,10,6,921.461,26.346,3138.745,3016.1
4,11,15,909,94,10,5,736.829,24.54,2508.061,2413.311
4,11,16,823,84,9,4,505.155,20.183,1696.323,1632.033
4,11,17,664,65,7,3,251.2,12.747,775.728,738.573
4,11,18,282,30,4,1,40.334,4.122,115.562,93.015
4,11,19,0,0,2,1,0,2,0,0
4,11,20,0,0,1,1,0,1,0,0
4,11,21,0,0,0,1,0,0,0,0
4,11,22,0,0,0,1,0,0,0,0
4,11,23,0,0,0,1,0,0,0,0
4,12,0,0,0,0,1,0,0,0,0
4,12,1,0,0,-1,1,0,-1,0,0
4,12,2,0,0,-1,1,0,-1,0,0
4,12,3,0,0,-2,1,0,-2,0,0
4,12,4,0,0,-2,1,0,-2,0,0
4,12,5,0,0,-1,1,0,-1,0,0
4,12,6,368,38,0,2,66.482,-0.365,184.491,160.608
4,12,7,662,71,3,3,287.392,8.447,938.738,897.352
4,12,8,798,91,6,4,532.808,16.824,1836.598,1767.482
4,12,9,871,103,9,4,752.353,25.127,2561.689,2464.711
4,12,10,912,112,12,4,919.117,32.05,3048.584,2930.154
4,12,11,931,118,13,4,1023.383,35.54,3341.934,3209.514
4,12,12,881,150,15,5,1039.984,35.557,3396.555,3261.443
4,12,13,871,146,16,5,992.335,35.668,3238.159,3110.779
4,12,14,837,140,17,5,869.465,34.231,2851.76,2742.267
4,12,15,761,135,17,5,682.291,30.423,2261.059,2176.226
4,12,16,640,121,16,4,452.498,25.86,1489.183,1431.686
4,12,17,435,90,13,3,211.763,17.635,665.161,630.734
4,12,18,119,27,11,3,29.347,10.498,92.914,70.795
4,12,19,0,0,10,3,0,10,0,0
4,12,20,0,0,9,4,0,9,0,0
4,12,21,0,0,8,5,0,8,0,0
4,12,22,0,0,7,4,0,7,0,0
4,12,23,0,0,6,4,0,6,0,0
4,13,0,0,0,5,3,0,5,0,0
4,13,1,0,0,4,3,0,4,0,0
4,13,2,0,0,4,3,0,4,0,0
4,13,3,0,0,3,3,0,3,0,0
4,13,4,0,0,3,3,0,3,0,0
4,13,5,0,0,3,3,0,3,0,0
4,13,6,297,41,5,4,63.648,4.742,182.173,158.335
4,13,7,587,81,7,4,275.155,11.63,895.917,855.666
4,13,8,737,103,11,4,514.608,21.406,1740.49,1674.701
4,13,9,817,117,16,5,729.648,29.761,2431.288,2339.681
4,13,10,860,127,19,5,896.794,36.342,2912.792,2800.566
4,13,11,881,133,20,5,992.616,39.446,3178.924,3054.376
4,13,12,863,148,21,5,1021.04,41.141,3242.619,3115.025
4,13,13,849,148,22,5,974.356,41.296,3090.991,2970.588
4,13,14,817,142,22,4,855.157,40.863,2713.557,2610.124
4,13,15,756,132,22,4,676.058,36.898,2170.514,2089.175
4,13,16,662,113,21,3,455.784,31.965,1455.445,1399.016
4,13,17,492,83,18,1,222.524,25.232,668.237,633.736
4,13,18,175,30,14,1,34.242,13.882,102.695,80.392
4,13,19,0,0,13,2,0,13,0,0
4,13,20,0,0,12,2,0,12,0,0
4,13,21,0,0,11,3,0,11,0,0
4,13,22,0,0,11,3,0,11,0,0
4,13,23,0,0,10,3,0,10,0,0
4,14,0,0,0,9,3,0,9,0,0
4,14,1,0,0,9,3,0,9,0,0
4,14,2,0,0,8,4,0,8,0,0
4,14,3,0,0,8,3,0,8,0,0
4,14,4,0,0,8,3,0,8,0,0
4,14,5,0,0,8,3,0,8,0,0
4,14,6,164,47,9,3,58.381,8.604,184.354,160.473
4,14,7,434,111,11,3,254.9,15.625,835.965,797.274
4,14,8,621,140,14,4,491.031,23.819,1649.221,1586.511
4,14,9,748,149,17,5,716.209,30.468,2380.032,2290.493
4,14,10,826,148,19,5,890.792,36.205,2895.549,2784.098
4,14,11,872,143,20,5,1002.987,39.635,3209.141,3083.153
4,14,12,879,145,21,5,1034.427,41.413,3280.611,3151.182
4,14,13,884,135,21,5,987.284,40.562,3143.694,3020.815
4,14,14,868,123,22,5,878.806,39.416,2808.949,2701.352
4,14,15,829,110,21,5,702.863,34.859,2278.294,2192.787
4,14,16,752,93,20,4,480.73,30.481,1541.551,1482.374
4,14,17,597,71,18,3,240.196,23.407,714.808,679.17
4,14,18,251,31,15,3,38.697,14.867,109.617,87.182
4,14,19,0,0,13,4,0,13,0,0
4,14,20,0,0,13,4,0,13,0,0
4,14,21,0,0,12,4,0,12,0,0
4,14,22,0,0,11,4,0,11,0,0
4,14,23,0,0,10,4,0,10,0,0
4,15,0,0,0,9,4,0,9,0,0
4,15,1,0,0,9,4,0,9,0,0
4,15,2,0,0,8,4,0,8,0,0
4,15,3,0,0,8,3,0,8,0,0
4,15,4,0,0,8,3,0,8,0,0
4,15,5,0,0,8,3,0,8,0,0
4,15,6,340,45,10,4,74.101,10.027,206.05,181.739
4,15,7,495,90,13,4,257.121,17.303,827.268,788.801
4,15,8,559,143,16,6,458.807,23.245,1547.277,1487.915
4,15,9,473,237,19,7,603.243,28.158,2031.027,1954.92
4,15,10,525,277,21,7,763.705,32.909,2524.171,2428.754
4,15,11,370,379,22,7,762.389,34.072,2508.117,2413.365
4,15,12,390,379,23,7,792.489,35.565,2588.275,2490.182
4,15,13,357,380,23,7,745.49,34.845,2443.054,2350.969
4,15,14,405,313,23,7,676.075,33.684,2225.522,2142.069
4,15,15,384,253,22,7,532.243,30.29,1771.78,1704.917
4,15,16,425,163,21,6,385.195,27.371,1270.193,1219.442
4,15,17,298,110,20,6,192.016,22.762,608.47,575.399
4,15,18,115,35,18,6,36.159,17.725,115.293,92.75
4,15,19,0,0,16,5,0,16,0,0
4,15,20,0,0,15,4,0,15,0,0
4,15,21,0,0,14,3,0,14,0,0
4,15,22,0,0,14,3,0,14,0,0
4,15,23,0,0,14,4,0,14,0,0
4,16,0,0,0,14,4,0,14,0,0
4,16,1,0,0,14,4,0,14,0,0
4,16,2,0,0,13,5,0,13,0,0
4,16,3,0,0,13,4,0,13,0,0
4,16,4,0,0,12,4,0,12,0,0
4,16,5,0,0,12,4,0,12,0,0
4,16,6,195,51,14,4,65.997,13.901,200.546,176.344
4,16,7,412,104,15,5,242.967,18.532,787.826,750.365
4,16,8,293,208,17,6,374.778,22.758,1279.517,1228.489
4,16,9,120,306,19,6,401.691,25.429,1374.855,1320.936
4,16,10,165,378,20,6,537.051,28.856,1811.365,1743.131
4,16,11,226,417,21,6,654.036,32.094,2172.648,2091.227
4,16,12,171,435,21,6,625.388,31.743,2081.165,2003.198
4,16,13,156,415,22,6,581.811,31.955,1933.99,1861.416
4,16,14,269,353,22,6,602.402,32.259,1997.588,1922.708
4,16,15,210,289,21,6,441.567,28.453,1486.393,1428.985
4,16,16,140,204,21,5,274.775,25.852,927.709,886.617
4,16,17,97,118,20,4,142.057,22.267,475.482,445.472
4,16,18,13,33,18,4,31.174,17.503,109.408,86.978
4,16,19,0,0,17,4,0,17,0,0
4,16,20,0,0,17,4,0,17,0,0
4,16,21,0,0,16,4,0,16,0,0
4,16,22,0,0,16,4,0,16,0,0
4,16,23,0,0,15,4,0,15,0,0
4,17,0,0,0,14,4,0,14,0,0
4,17,1,0,0,13,4,0,13,0,0
4,17,2,0,0,13,4,0,13,0,0
4,17,3,0,0,13,4,0,13,0,0
4,17,4,0,0,13,3,0,13,0,0
4,17,5,0,0,13,3,0,13,0,0
4,17,6,170,56,14,3,68.69,13.937,214.652,190.17
4,17,7,422,104,16,4,247.332,20.098,796.352,758.674
4,17,8,418,185,17,5,425.79,24.43,1436.369,1380.539
4,17,9,93,303,18,5,371.942,24.682,1277.986,1227.003
4,17,10,333,352,19,5,666.136,31.321,2219.558,2136.335
4,17,11,128,420,20,5,562.658,30.801,1880.911,1810.233
4,17,12,172,436,21,5,627.244,32.893,2075.698,1997.935
4,17,13,298,397,21,4,707.351,36.123,2303.543,2217.044
4,17,14,44,321,21,3,360.254,29.816,1209.751,1160.785
4,17,15,16,222,21,2,225.815,26.521,770.032,733.019
4,17,16,280,192,20,1,337.178,29.68,1108.171,1062.125
4,17,17,224,114,18,1,175.419,23.156,564.481,532.44
4,17,18,85,36,17,0,35.874,17.641,117.5,94.915
4,17,19,0,0,16,0,0,16,0,0
4,17,20,0,0,16,0,0,16,0,0
4,17,21,0,0,15,0,0,15,0,0
4,17,22,0,0,15,0,0,15,0,0
4,17,23,0,0,14,0,0,14,0,0
4,18,0,0,0,14,1,0,14,0,0
4,18,1,0,0,14,1,0,14,0,0
4,18,2,0,0,14,2,0,14,0,0
4,18,3,0,0,14,2,0,14,0,0
4,18,4,0,0,14,2,0,14,0,0
4,18,5,0,0,14,3,0,14,0,0
4,18,6,0,32,14,3,30.351,12.993,110.197,87.751
4,18,7,0,96,15,2,91.365,15.655,327.794,300.992
4,18,8,0,81,16,2,76.996,16.493,275.201,249.492
4,18,9,0,121,16,1,115.531,17.832,410.434,381.862
4,18,10,4,171,16,1,167.885,19.754,591.189,558.525
4,18,11,6,180,16,1,179.141,20.393,628.998,595.439
4,18,12,12,241,16,2,245.575,21.412,858.224,818.958
4,18,13,12,242,16,3,245.999,20.928,861.613,822.259
4,18,14,20,275,16,4,284.456,21.29,994.501,951.611
4,18,15,89,286,16,4,347.383,22.748,1203.698,1154.908
4,18,16,0,126,15,3,120.369,17.15,428.946,399.969
4,18,17,513,87,14,2,234.164,18.889,726.217,690.297
4,18,18,229,38,12,2,43.527,12.005,130.362,107.531
4,18,19,0,0,10,2,0,10,0,0
4,18,20,0,0,9,2,0,9,0,0
4,18,21,0,0,8,2,0,8,0,0
4,18,22,0,0,7,2,0,7,0,0
4,18,23,0,0,6,2,0,6,0,0
4,19,0,0,0,5,2,0,5,0,0
4,19,1,0,0,5,2,0,5,0,0
4,19,2,0,0,4,1,0,4,0,0
4,19,3,0,0,4,1,0,4,0,0
4,19,4,0,0,3,1,0,3,0,0
4,19,5,0,0,4,1,0,4,0,0
4,19,6,408,46,6,2,85.971,6.254,235.701,210.796
4,19,7,664,76,8,3,305.47,13.931,987.666,944.962
4,19,8,319,209,11,2,391.738,20.797,1349.467,1296.326
4,19,9,862,105,12,2,759.639,31.709,2509.167,2414.371
4,19,10,901,112,14,2,919.505,38.789,2950.877,2836.928
4,19,11,286,403,15,1,707.179,38.83,2272.235,2186.965
4,19,12,79,417,16,1,503.596,32.985,1665.788,1602.525
4,19,13,80,399,17,1,481.696,32.389,1597.896,1536.884
4,19,14,52,332,18,1,378.156,30.151,1267.783,1217.104
4,19,15,80,285,18,1,339.865,28.498,1146.386,1099.253
4,19,16,15,170,17,1,170.773,22.016,593.756,561.032
4,19,17,0,98,15,1,93.093,16.579,332.604,305.701
4,19,18,0,26,13,1,24.659,11.804,90.005,67.941
4,19,19,0,0,12,0,0,12,0,0
4,19,20,0,0,11,0,0,11,0,0
4,19,21,0,0,11,0,0,11,0,0
4,19,22,0,0,10,1,0,10,0,0
4,19,23,0,0,10,1,0,10,0,0
4,20,0,0,0,10,2,0,10,0,0
4,20,1,0,0,10,2,0,10,0,0
4,20,2,0,0,9,2,0,9,0,0
4,20,3,0,0,9,3,0,9,0,0
4,20,4,0,0,9,3,0,9,0,0
4,20,5,0,0,9,4,0,9,0,0
4,20,6,0,2,9,4,1.89,7.398,7.034,0
4,20,7,0,8,10,5,7.574,8.732,28.021,7.106
4,20,8,0,11,10,5,10.43,8.798,38.576,17.468
4,20,9,0,47,11,6,44.673,10.552,163.957,140.476
4,20,10,14,256,11,6,260.662,14.419,940.319,898.891
4,20,11,127,426,12,6,567.469,21.125,1985.702,1911.256
4,20,12,227,438,12,6,683.297,23.563,2364.166,2275.262
4,20,13,34,347,13,6,382.781,19.434,1349.913,1296.758
4,20,14,74,352,13,6,417.651,19.654,1470.853,1413.938
4,20,15,245,290,13,5,466.653,21.47,1622.662,1560.834
4,20,16,569,132,12,5,430.377,19.834,1462.089,1405.45
4,20,17,434,96,11,4,219.666,15.226,702.557,667.221
4,20,18,217,38,10,2,43.456,9.921,131.688,108.832
4,20,19,0,0,9,2,0,9,0,0
4,20,20,0,0,9,3,0,9,0,0
4,20,21,0,0,8,3,0,8,0,0
4,20,22,0,0,8,4,0,8,0,0
4,20,23,0,0,8,4,0,8,0,0
4,21,0,0,0,9,4,0,9,0,0
4,21,1,0,0,9,4,0,9,0,0
4,21,2,0,0,9,4,0,9,0,0
4,21,3,0,0,10,5,0,10,0,0
4,21,4,0,0,10,5,0,10,0,0
4,21,5,0,0,10,5,0,10,0,0
4,21,6,232,65,10,5,85.627,10.269,265.676,240.163
4,21,7,0,11,11,5,10.416,9.939,38.333,17.229
4,21,8,0,115,12,6,109.675,12.713,398.698,370.382
4,21,9,0,125,13,6,119.385,14.026,431.464,402.431
4,21,10,11,234,14,6,236.095,17.114,841.427,802.596
4,21,11,121,422,16,6,557.192,24.949,1915.327,1843.423
4,21,12,10,218,17,6,220.704,20.453,774.724,737.594
4,21,13,22,312,17,6,325.402,21.859,1134.826,1088.024
4,21,14,432,308,17,5,701.414,29.914,2351.665,2263.26
4,21,15,0,128,18,5,122.269,20.252,429.591,400.599
4,21,16,670,117,17,4,466.938,26.007,1536.817,1477.793
4,21,17,539,84,16,2,239.806,22.233,730.383,694.36
4,21,18,259,40,13,1,47.512,13.404,138.344,115.36
4,21,19,0,0,11,1,0,11,0,0
4,21,20,0,0,11,1,0,11,0,0
4,21,21,0,0,10,2,0,10,0,0
4,21,22,0,0,10,3,0,10,0,0
4,21,23,0,0,9,3,0,9,0,0
4,22,0,0,0,8,3,0,8,0,0
4,22,1,0,0,7,2,0,7,0,0
4,22,2,0,0,6,2,0,6,0,0
4,22,3,0,0,6,2,0,6,0,0
4,22,4,0,0,5,2,0,5,0,0
4,22,5,0,0,5,2,0,5,0,0
4,22,6,467,47,7,2,96.859,7.575,259.442,234.056
4,22,7,707,74,10,2,323.112,17.229,1031.137,987.243
4,22,8,820,91,13,2,563.09,27.365,1857.112,1787.276
4,22,9,883,103,14,2,774.206,34.538,2522.891,2427.527
4,22,10,921,110,15,2,938.651,40.255,2990.398,2874.647
4,22,11,940,114,16,1,1038.705,48.983,3166.85,3042.875
4,22,12,900,142,17,1,1049.894,50.574,3174.43,3050.096
4,22,13,895,137,18,0,1004.337,56.919,2932.94,2819.804
4,22,14,872,129,19,0,892.306,54.416,2636.919,2536.77
4,22,15,804,127,19,0,706.544,48.382,2139.359,2059.204
4,22,16,724,109,18,0,486.672,39.548,1497.398,1439.64
4,22,17,576,83,17,0,249.835,29.07,734.316,698.196
4,22,18,269,42,14,0,50.081,16.234,143.847,120.757
4,22,19,0,0,12,1,0,12,0,0
4,22,20,0,0,10,1,0,10,0,0
4,22,21,0,0,10,1,0,10,0,0
4,22,22,0,0,9,1,0,9,0,0
4,22,23,0,0,9,1,0,9,0,0
4,23,0,0,0,8,2,0,8,0,0
4,23,1,0,0,8,2,0,8,0,0
4,23,2,0,0,7,2,0,7,0,0
4,23,3,0,0,7,2,0,7,0,0
4,23,4,0,0,7,2,0,7,0,0
4,23,5,0,0,8,3,0,8,0,0
4,23,6,277,65,10,4,92.159,10.431,278.917,253.131
4,23,7,527,113,12,4,298.679,17.253,975.139,932.775
4,23,8,675,138,15,5,531.128,24.548,1782.523,1715.29
4,23,9,764,151,18,6,741.599,30.588,2465.582,2372.578
4,23,10,807,162,20,6,898.508,35.619,2930.129,2817.12
4,23,11,820,172,22,7,991.129,37.871,3199.735,3074.197
4,23,12,512,354,23,7,897.009,37.478,2901.965,2790.226
4,23,13,815,167,24,7,966.899,39.506,3095.569,2974.952
4,23,14,794,153,24,7,851.027,37.73,2744.115,2639.357
4,23,15,751,135,24,6,679.226,35.974,2192.131,2109.964
4,23,16,671,114,23,6,465.146,30.994,1494.982,1437.3
4,23,17,513,87,21,5,236.123,25.136,713.307,677.706
4,23,18,226,41,19,5,47.306,19.028,137.266,114.302
4,23,19,0,0,17,4,0,17,0,0
4,23,20,0,0,16,4,0,16,0,0
4,23,21,0,0,15,5,0,15,0,0
4,23,22,0,0,15,4,0,15,0,0
4,23,23,0,0,14,4,0,14,0,0
4,24,0,0,0,14,5,0,14,0,0
4,24,1,0,0,14,5,0,14,0,0
4,24,2,0,0,14,5,0,14,0,0
4,24,3,0,0,14,5,0,14,0,0
4,24,4,0,0,14,5,0,14,0,0
4,24,5,0,0,14,5,0,14,0,0
4,24,6,0,8,15,5,7.566,13.792,27.374,6.471
4,24,7,0,22,17,6,20.846,16.197,74.609,52.834
4,24,8,0,55,20,7,52.238,19.836,183.89,160.018
4,24,9,97,318,21,7,389.963,26.322,1329.824,1277.281
4,24,10,287,378,23,8,653.52,32.146,2169.262,2087.97
4,24,11,830,153,24,8,981.554,38.248,3162.858,3039.073
4,24,12,467,367,25,8,865.672,37.845,2795.464,2688.46
4,24,13,512,336,25,8,855.413,37.589,2765.359,2659.675
4,24,14,10,221,24,7,221.85,27.527,753.322,716.729
4,24,15,0,125,23,6,119.336,24.315,411.457,382.862
4,24,16,582,132,22,6,438.158,28.779,1427.93,1372.365
4,24,17,0,96,20,6,91.083,21.05,318.847,292.232
4,24,18,0,28,19,6,26.555,18.438,94.079,71.938
4,24,19,0,0,18,6,0,18,0,0
4,24,20,0,0,18,5,0,18,0,0
4,24,21,0,0,17,4,0,17,0,0
4,24,22,0,0,16,4,0,16,0,0
4,24,23,0,0,15,4,0,15,0,0
4,25,0,0,0,14,3,0,14,0,0
4,25,1,0,0,13,3,0,13,0,0
4,25,2,0,0,12,3,0,12,0,0
4,25,3,0,0,12,3,0,12,0,0
4,25,4,0,0,11,3,0,11,0,0
4,25,5,0,0,11,3,0,11,0,0
4,25,6,429,52,11,3,100.712,11.681,274.747,249.047
4,25,7,653,83,13,4,317.741,18.703,1016.584,973.09
4,25,8,769,103,15,4,550.954,26.239,1830.697,1761.788
4,25,9,836,116,17,4,759.733,33.147,2494.008,2399.837
4,25,10,875,124,18,3,915.452,39.743,2924.402,2811.652
4,25,11,896,127,20,3,1011.878,44.18,3163.634,3039.813
4,25,12,910,122,21,3,1040.609,45.991,3223.422,3096.75
4,25,13,901,120,21,3,993.614,45.016,3092.645,2972.164
4,25,14,874,115,22,2,875.484,45.985,2706.175,2603.061
4,25,15,826,108,22,2,703.448,41.403,2208.079,2125.299
4,25,16,745,95,21,1,484.369,37.224,1506.393,1448.347
4,25,17,603,75,19,0,251.171,31.028,727.645,691.69
4,25,18,319,40,16,0,52.686,18.367,142.904,119.831
4,25,19,0,0,14,1,0,14,0,0
4,25,20,0,0,13,1,0,13,0,0
4,25,21,0,0,12,2,0,12,0,0
4,25,22,0,0,11,2,0,11,0,0
4,25,23,0,0,11,3,0,11,0,0
4,26,0,0,0,10,3,0,10,0,0
4,26,1,0,0,10,3,0,10,0,0
4,26,2,0,0,9,3,0,9,0,0
4,26,3,0,0,9,3,0,9,0,0
4,26,4,0,0,9,3,0,9,0,0
4,26,5,0,0,9,4,0,9,0,0
4,26,6,0,10,10,4,9.46,8.58,35.022,13.979
4,26,7,0,27,12,4,25.592,10.989,93.745,71.611
4,26,8,0,144,15,5,137.633,16.396,492.145,461.761
4,26,9,354,297,16,5,575.082,26.15,1958.379,1884.925
4,26,10,777,169,17,6,881.363,32.082,2924.783,2812.016
4,26,11,811,169,18,6,980.966,35.222,3208.955,3082.976
4,26,12,796,183,19,5,999.058,38.702,3212.357,3086.216
4,26,13,769,188,20,5,945.349,38.703,3038.903,2920.92
4,26,14,339,351,20,5,658.54,33.104,2174.631,2093.134
4,26,15,633,186,19,5,649.011,31.452,2144.328,2063.984
